	x	mx	xint	y	my	yint
0	0	5.084419177198422	29.415610056494188	0	5.6690329512894015	-670.6704297994302
1	1	5.132636963003111	12.60791791205338	1	5.259044259455263	-101.62087603295004
2	2	5.135098574480024	50.59079738807304	2	5.183597014925375	-143.81062686567384
3	3	5.078858068289842	-33.82563746689357	3	5.2494858779919875	-105.15787673693558
4	4	5.319420794263567	-39.414060674064785	4	5.274261806949683	-162.57718643177304
5	5	5.355197487490643	-63.19819091314821	5	5.336839317061795	-173.33931045210284
6	6	5.220600938096519	32.77477962699504	6	5.183150701340007	-95.554552389749
7	7	5.133970077033387	-80.5890041984967	7	5.323933285855302	-63.641142132772075
8	8	5.117433810658219	23.263339386936423	8	5.338324941781042	-224.26210073457787
9	9	5.32355411181717	-106.81099739639376	9	5.277541570607544	-123.35548646188909
10	10	5.1902022662899885	-21.11131134971947	10	5.272044007053187	-127.38885072507765
11	11	5.281575885737243	-67.20958620861347	11	5.584226635042883	-193.8256687365074
12	12	5.013845533055813	31.909529347543867	12	5.5198686010280476	-176.47835157384088
13	13	5.169888637207097	-99.5230257718149	13	5.271928238714859	-61.79141789323603
14	14	5.1472717448806184	-62.090718085268236	14	5.400299888930029	-386.20587930396505
15	15	5.38254781869621	-68.3246486825783	15	5.231738337943236	1.7695870439647479
16	16	5.642205857344366	-47.29078732551989	16	5.439316118024464	48.67153779114051
17	17	5.601284710381368	-77.88896015623959	17	5.97383586524733	41.6515760773882
18	18	5.643663219784766	-50.933019429287015	18	5.78705311135128	21.94918455771858
19	19	5.74651170363239	-134.12235727531697	19	5.882772296535801	-38.74305882496719
20	20	5.757744076209077	-15.951523062010892	20	5.872237426530582	36.03168141566857
21	21	5.767786642241002	9.190132039062519	21	5.843581219467105	-24.951697121224242
22	22	5.737775828642181	-58.92979485591695	22	5.443064657975508	48.268183382177085
23	23	5.648392335278898	-29.47296417504822	23	6.241208873923366	33.08866014938849
24	24	5.78317445129212	-75.94393489413596	24	5.830349864098791	20.343999134162004
25	25	5.7921899524689255	-132.13934512684318	25	6.107317760685612	1.690166952294021
26	26	5.7320963759372185	-29.873038459980307	26	5.884356590825363	-12.405852463882184
27	27	5.723893882835199	-100.0764699281035	27	5.781013805846309	41.390710891818344
28	28	5.749769535267993	-82.3441835022868	28	5.936807107375061	-23.569091170246793
29	29	5.684787838451748	-47.80643834460261	29	6.079047726242186	8.053203644030873
30	30	5.652064784428188	-67.16461466032979	30	5.988009033297768	-40.04388398561241
31	31	5.633118680495999	-77.63519104033458	31	5.954048251422666	29.153486702472946
