	x	mx	xint	y	my	yint
0	0	5.084419177198422	29.415610056494188	0	5.131045574617488	-76.85727895115633
1	1	5.132636963003111	12.60791791205338	1	5.233996573595925	-72.45776264766027
2	2	5.135098574480024	50.59079738807304	2	5.175132646536538	-131.31208905564927
3	3	5.078858068289842	-33.82563746689357	3	5.270929667438553	-128.39419005354284
4	4	5.319420794263567	-39.414060674064785	4	5.275775659957926	-162.61727849778708
5	5	5.355197487490643	-63.19819091314821	5	5.310107790788994	-146.46694074178868
6	6	5.220600938096519	32.77477962699504	6	5.2400745060038965	-157.50978630783084
7	7	5.133970077033387	-80.5890041984967	7	5.290731185865967	-28.681535941958828
8	8	5.117433810658219	23.263339386936423	8	5.2789054511227995	-158.9309646745278
9	9	5.32355411181717	-106.81099739639376	9	5.296058918685923	-142.88461284711138
10	10	5.1902022662899885	-21.11131134971947	10	5.263586469540595	-115.80187593585833
11	11	5.281575885737243	-67.20958620861347	11	5.522354953292734	-133.83236315669183
12	12	5.013845533055813	31.909529347543867	12	5.4531939499901405	-109.34034956765208
13	13	5.169888637207097	-99.5230257718149	13	5.33220385877335	-121.03848637853025
14	14	5.1472717448806184	-62.090718085268236	14	5.193634021718273	-164.28228621556718
15	15	5.38254781869621	-68.3246486825783	15	5.3157146058736515	-85.49622448771333
16	16	5.642205857344366	-47.29078732551989	16	5.455782922700424	30.58592196916743
17	17	5.601284710381368	-77.88896015623959	17	6.015371438543122	2.612507724318675
18	18	5.643663219784766	-50.933019429287015	18	5.807238606302662	0.7085192123076922
19	19	5.74651170363239	-134.12235727531697	19	5.872789486964314	-29.590896555016116
20	20	5.757744076209077	-15.951523062010892	20	5.904648034096374	4.256731558351021
21	21	5.767786642241002	9.190132039062519	21	5.816273868090089	-2.182883933197445
22	22	5.737775828642181	-58.92979485591695	22	5.447946237762086	41.5026784870779
23	23	5.648392335278898	-29.47296417504822	23	6.191171369117207	75.02230075967054
24	24	5.78317445129212	-75.94393489413596	24	5.867577471734287	-18.906505752781413
25	25	5.7921899524689255	-132.13934512684318	25	6.073002572228434	29.757114567704775
26	26	5.7320963759372185	-29.873038459980307	26	5.89875071394985	-28.1366798600493
27	27	5.723893882835199	-100.0764699281035	27	5.807513045829809	13.580933719501445
28	28	5.749769535267993	-82.3441835022868	28	5.910876945222252	-2.9979051722266377
29	29	5.684787838451748	-47.80643834460261	29	6.049414290270824	33.42977048817647
30	30	5.652064784428188	-67.16461466032979	30	5.949708806068147	-4.5858096583906445
31	31	5.633118680495999	-77.63519104033458	31	6.011029859919193	-24.874367684257777
