	x	mx	xint	y	my	yint
0	0	5.143283519	-34.90878851	0	5.310274021670998	-249.43576072356336
1	1	5.16630596	-18.98588165	1	5.258168954	-93.62292133
2	2	5.176225581	13.29086974	2	5.267806307	-229.9379719
3	3	5.057495913	-13.59908699	3	5.215635127	-62.64544342
4	4	5.312950819672134	-32.722950819675134	4	5.311821438166028	-194.44651025342955
5	5	5.305386291	-6.757997264	5	5.359098829	-189.9655566
6	6	5.218241892	41.63146611	6	5.352265532611664	-280.48589011189233
7	7	5.1020362719986805	-45.08596133190349	7	5.27828289	-4.553049347
8	8	5.138863853	4.689162067	8	5.268140364789851	-149.52204996035016
9	9	5.292673609	-69.21376351	9	5.351927143	-193.6175432
10	10	5.224417365	-49.761194	10	5.262831941	-109.8379915
11	11	5.184997440491428	37.87268748400038	11	5.575187858	-179.9654291
12	12	5.217819503331317	-167.03924894003922	12	5.181754797441368	172.54858422174493
13	13	5.102	-23.43	13	5.225470466	6.283597159
14	14	5.155435863	-65.60629293	14	5.348766021270796	-315.9423670575434
15	15	5.386272873	-66.32241326	15	5.282113402	-44.70341778
16	16	5.65166912	-47.60480633	16	5.490409219	0.545138665
17	17	5.63242825	-100.2329583	17	5.959769344	56.92467518
18	18	5.679081333	-71.83534946	18	5.824704567	-9.961859909
19	19	5.729316056	-108.0684279	19	5.684763028313503	146.02243742305836
20	20	5.736181998538167	17.450616059306412	20	5.884295847	27.91801851
21	21	5.633886649874058	139.31749370276793	21	5.584062964062967	216.348624888622
22	22	5.587758620689658	95.52068965516992	22	5.448219902	47.38808191
23	23	5.787165479859711	-162.2953980231714	23	6.216720777	57.20684453
24	24	5.787559694	-70.41221512	24	5.6359880028228675	199.320578687365
25	25	5.747610628	-81.05912336	25	6.126465257	-13.39929711
26	26	5.743521436	-29.76645067	26	5.911216001	-33.30564527
27	27	5.823101972	-186.4988429	27	5.812994043	15.66812895
28	28	5.760622377	-85.2306481	28	5.927774821	-12.44577504
29	29	5.71329483	-65.76005935	29	6.099475406	-5.045721676
30	30	5.692965488	-96.97201857	30	5.997871606	-44.05466169
31	31	5.684763028313503	-132.53095096430297	31	5.838739045764365	127.99629503407687
