	x	mx	xint	y	my	yint
0	0	5.084419177198422	29.415610056494188	0	5.268140364789851	-233.8122957969881
1	1	5.132636963003111	12.60791791205338	1	5.259044259455263	-101.62087603295004
2	2	5.135098574480024	50.59079738807304	2	5.183597014925375	-143.81062686567384
3	3	5.178151035011502	-141.3520240224907	3	5.267091505068948	-130.85076766969996
4	4	5.319420794263567	-39.414060674064785	4	5.274261806949683	-162.57718643177304
5	5	5.355197487490643	-63.19819091314821	5	5.336839317061795	-173.33931045210284
6	6	5.220600938096519	32.77477962699504	6	5.201906985954753	-124.88516872132641
7	7	5.141487915407857	-86.11141238670916	7	5.285942619336115	-23.44499445139627
8	8	5.117433810658219	23.263339386936423	8	5.292569495351402	-182.15850013568888
9	9	5.32355411181717	-106.81099739639376	9	5.277541570607544	-123.35548646188909
10	10	5.1902022662899885	-21.11131134971947	10	5.272044007053187	-127.38885072507765
11	11	5.281575885737243	-67.20958620861347	11	5.578075625476456	-195.97862947234808
12	12	5.013845533055813	31.909529347543867	12	5.464723209389361	-129.35286251198613
13	13	5.169888637207097	-99.5230257718149	13	5.282917860337105	-80.80299472725619
14	14	5.1472717448806184	-62.090718085268236	14	5.570456161137443	-567.3953909952634
15	15	5.38254781869621	-68.3246486825783	15	5.231738337943236	1.7695870439647479
16	16	5.661887959213755	-68.94704554151213	16	5.439316118024464	48.67153779114051
17	17	5.604068552838092	-80.14447174334964	17	5.97383586524733	41.6515760773882
18	18	5.643663219784766	-50.933019429287015	18	5.793296071429822	11.668855310160325
19	19	5.74651170363239	-134.12235727531697	19	5.882772296535801	-38.74305882496719
20	20	5.757744076209077	-15.951523062010892	20	5.872237426530582	36.03168141566857
21	21	5.767786642241002	9.190132039062519	21	5.843581219467105	-24.951697121224242
22	22	5.740240662628964	-58.24913630892752	22	5.475951449293537	14.06148532772113
23	23	5.69343300215152	-73.51613493040713	23	6.178911995504188	83.73474429972975
24	24	5.78317445129212	-75.94393489413596	24	5.830349864098791	20.343999134162004
25	25	5.7921899524689255	-132.13934512684318	25	6.107317760685612	1.690166952294021
26	26	5.7220450066918005	-16.08623498547695	26	5.892226512359791	-22.91163026025515
27	27	5.723893882835199	-100.0764699281035	27	5.800226014654713	19.749002312194534
28	28	5.749769535267993	-82.3441835022868	28	5.887036768139318	18.633711488004337
29	29	5.684787838451748	-47.80643834460261	29	6.079047726242186	8.053203644030873
30	30	5.652064784428188	-67.16461466032979	30	6.03426468087837	-82.73494567962553
31	31	5.627658507892298	-71.16313064594851	31	6.006917566656165	-20.057805983286926
