	x	mx	xint	y	my	yint
0	0	5.129918720318996	-4.865349507185783	0	5.172367516155904	-110.74501359344686
1	1	5.1750335026355545	-19.282242622774902	1	5.261960146418367	-96.52752431601584
2	2	5.163215524307867	35.800836340221394	2	5.203056256519673	-153.14142914249805
3	3	5.062762897902223	-1.7330280753185434	3	5.184997440491428	-19.16228436140591
4	4	5.345891886363435	-50.79778769202494	4	5.307664641517436	-190.6713370324951
5	5	5.375085544916708	-68.65102562197899	5	5.311821438166028	-130.70465299543685
6	6	5.2287158077992215	38.367844245632114	6	5.269336078693655	-181.47926192687282
7	7	5.125651221695784	-56.717119695606925	7	5.320707887638029	-49.64607552492089
8	8	5.148324784541685	5.97387913975399	8	5.281916843146328	-156.18831045011393
9	9	5.308989089768238	-76.84570376355441	9	5.352126772857389	-192.37477455024782
10	10	5.223717336214433	-40.09913964281077	10	5.261273769639846	-106.63312777079318
11	11	5.273957994212397	-47.11039247424651	11	5.52910697169869	-130.32040011602294
12	12	5.041977282496706	17.99033678289379	12	5.473280515492665	-123.07517765889679
13	13	5.146738421443745	-59.8960065200763	13	5.31134503273287	-92.13811729634836
14	14	5.116406345618692	-23.59138681184413	14	5.195622460162275	-161.00689710691495
15	15	5.380138195163137	-59.32998663023227	15	5.3186888028453305	-83.15432368442725
16	16	5.65900294544493	-57.116256016977786	16	5.477969012444451	13.21983317032118
17	17	5.638305823141154	-107.59351181205966	17	5.9153325113296535	93.93878493589727
18	18	5.62527630446213	-23.856447856389423	18	5.816077652877755	-5.171663236918903
19	19	5.754291169007058	-135.40201129276647	19	5.8200281555896405	19.52998914534146
20	20	6.113029296643343	-690.0019131775616	20	5.903795677937782	6.63677061735234
21	21	6.530757721068736	-1048.0654037165596	21	5.886198111418162	-64.22492961298212
22	22	5.747941633285392	-44.89514149209754	22	5.432674075562874	59.119101010353916
23	23	5.692305359891451	-51.79921240726708	23	6.2291808899609205	43.47503419205805
24	24	5.784808913236379	-70.1105467634361	24	5.839661391905207	10.21494979986528
25	25	5.751244352404698	-87.27382049248263	25	6.127505946483019	-14.5072969059338
26	26	5.739554908097887	-29.36847411691815	26	5.853359280373917	17.08907214125702
27	27	5.748125405026136	-116.90824455700385	27	5.796554388365958	27.14362604769758
28	28	5.747116243778348	-71.76345298864908	28	5.912881025191344	-3.0675123619139413
29	29	5.7128644781031825	-67.31895389160672	29	6.117921091368042	-25.32226875925153
30	30	5.728701513709631	-122.47498729919971	30	5.991633431224952	-44.8761689421508
31	31	5.654458292865249	-87.4227310742981	31	5.973191268641481	11.409076237411682
