	x	mx	xint	y	my	yint
0	0	5.084419177198422	29.415610056494188	0	5.51457124842371	-497.5134237074426
1	1	5.132636963003111	12.60791791205338	1	5.27157543239973	-119.30735450285738
2	2	5.135098574480024	50.59079738807304	2	5.14288762395185	-102.72862655203062
3	3	5.078858068289842	-33.82563746689357	3	5.202042842803501	-60.78518431550492
4	4	5.319420794263567	-39.414060674064785	4	5.278706238377922	-169.3592680890124
5	5	5.355197487490643	-63.19819091314821	5	5.28099560728449	-122.34242479335717
6	6	5.220600938096519	32.77477962699504	6	5.195001567060623	-114.50477305352979
7	7	5.133970077033387	-80.5890041984967	7	5.335637343797683	-79.28756004790102
8	8	5.117433810658219	23.263339386936423	8	5.323987303506505	-210.97763540756478
9	9	5.32355411181717	-106.81099739639376	9	5.34064322787333	-191.96166189983342
10	10	5.1902022662899885	-21.11131134971947	10	5.245393625070424	-101.19321517608205
11	11	5.281575885737243	-67.20958620861347	11	5.53229451940978	-147.36448752650904
12	12	5.013845533055813	31.909529347543867	12	5.426552571176678	-88.366653406958
13	13	5.169888637207097	-99.5230257718149	13	5.244858946656775	-36.954128979758934
14	14	5.1472717448806184	-62.090718085268236	14	5.224499337171606	-202.51359204561504
15	15	5.38254781869621	-68.3246486825783	15	5.250752017946862	-23.881024128403624
16	16	5.642205857344366	-47.29078732551989	16	5.495478712801261	-6.3534760220481985
17	17	5.601284710381368	-77.88896015623959	17	5.9455759566214175	64.4609577941319
18	18	5.643663219784766	-50.933019429287015	18	5.83496485162145	-25.249345926314163
19	19	5.74651170363239	-134.12235727531697	19	5.822339592001986	15.987805389428104
20	20	5.757744076209077	-15.951523062010892	20	5.6364235305978445	253.39777144873278
21	21	5.767786642241002	9.190132039062519	21	5.843037626354801	-28.452687446368145
22	22	5.737775828642181	-58.92979485591695	22	5.269830351634796	214.0462584824163
23	23	5.648392335278898	-29.47296417504822	23	6.1911439546186955	75.23242949668747
24	24	5.78317445129212	-75.94393489413596	24	5.85729595503657	-9.484002904070621
25	25	5.7921899524689255	-132.13934512684318	25	6.064242982493917	37.48079173320366
26	26	5.7320963759372185	-29.873038459980307	26	5.842536528153912	24.151369256293037
27	27	5.723893882835199	-100.0764699281035	27	5.802401624803142	18.470191498169697
28	28	5.749769535267993	-82.3441835022868	28	5.932653223190959	-23.79084505308674
29	29	5.684787838451748	-47.80643834460261	29	6.150103741944461	-55.44776699587146
30	30	5.652064784428188	-67.16461466032979	30	5.98032396761939	-34.817219132677565
31	31	5.633118680495999	-77.63519104033458	31	6.170680087051144	-176.3936398258993
